"der Treffer, -","Hit, Goal, Winner"
"der Pfarrer/ die Pfarrerin, -","Pastor, priest, minister"
"der Ober, -",waiter
"der/die Künstler/Künstlerin, -",Artist
"der/die Kaufmann, -Leute/Kauffrau, -en","Businessman, trader, merchant"
"der/die Beamte/Beamtin, -","officer, official, civil servant"
"der/die Bauer/Bäuerin, -n","farmer, peasant"
"der Angestellte[r], -",employee
lachen,laugh
holen,"get, fetch, pick up"
führen,"lead, run, carry"
empfinden,feel
empfangen,"receive, welcome"
beweisen,"prove, demonstrate"
gegenseitig,"each other, mutual, mutually"
hübsch,"pretty, nice, lovely"
"die Sucht, -Süchte, -en",addiction
selten,rarely/seldom
steigen,"rise, increase"
stehlen,steal
ansehen,"view, watch"
umziehen,move
unternehmen,"do, undertake"
unterhalten,"entertain, support"
treiben,"drive, push"
streiten,"argue, fight, quarrel"
"die Zutat, -en",Ingredients
"die Herkunft, -künfte","origin, ancestry"
feuern,"fire, sack"
"der Rivale, -n/die Rivalin, nen",Rival
vorsichtig,"carefully, cautious"
"der Hafen, Häfen","Port, Harbor"
Wegen,"because of, due to"
"das Beziehung, -en",Relationship
verwalten,"manage, administrator, maintain"
"die Bedienungsanleitung, -en",Operational manual
"die Bedienung, -en","Operation, Service"
folgen,"follow, succeed"
deutlich,"Clearly, distinctly"
ausgeruht,rested
deshalb,"Therefore, hence"
Die Bedeutung(Bedeutungen),"important, meaning, significance"
